avize      ;alozahic       ; vtmonitor                                                             
avize      ;avahi          ; avahi-daemon: chroot helper                                           
avize      ;avahi          ; avahi-daemon: running [centos63.local]                                
avize      ;dbus           ; dbus-daemon --system                                                  
avize      ;ntp            ; ntpd -u ntp:ntp -p /var/run/ntpd.pid                                  
avize      ;postfix        ; pickup -l -t fifo -u                                                  
avize      ;postfix        ; qmgr -l -t fifo -u                                                    
avize      ;root           ; abrt-dump-oops -d /var/spool/abrt -rwx /var/log/messages              
avize      ;root           ; [aio/0]                                                               
avize      ;root           ; [async/mgr]                                                           
avize      ;root           ; [ata/0]                                                               
avize      ;root           ; [ata_aux]                                                             
avize      ;root           ; auditd                                                                
avize      ;root           ; automount --pid-file /var/run/autofs.pid                              
avize      ;root           ; -bash                                                                 
avize      ;root           ; [bdi-default]                                                         
avize      ;root           ; [cgroup]                                                              
avize      ;root           ; crond                                                                 
avize      ;root           ; CROND                                                                 
avize      ;root           ; CROND                                                                 
avize      ;root           ; CROND                                                                 
avize      ;root           ; [crypto/0]                                                            
avize      ;root           ; cupsd -C /etc/cups/cupsd.conf                                         
avize      ;root           ; [events/0]                                                            
avize      ;root           ; [ext4-dio-unwrit]                                                     
avize      ;root           ; [ext4-dio-unwrit]                                                     
avize      ;root           ; [ext4-dio-unwrit]                                                     
avize      ;root           ; [ext4-dio-unwrit]                                                     
avize      ;root           ; [ext4-dio-unwrit]                                                     
avize      ;root           ; [ext4-dio-unwrit]                                                     
avize      ;root           ; [ext4-dio-unwrit]                                                     
avize      ;root           ; [flush-253:3]                                                         
avize      ;root           ; [flush-253:4]                                                         
avize      ;root           ; [flush-253:5]                                                         
avize      ;root           ; hald-addon-input: Listening on /dev/input/event0 /dev/input/event1    
avize      ;root           ; hald-runner                                                           
avize      ;root           ; /home/alozahic/Linux/centos63/Ver551/abm/bin/bdaemon                  
avize      ;root           ; [jbd2/dm-0-8]                                                         
avize      ;root           ; [jbd2/dm-2-8]                                                         
avize      ;root           ; [jbd2/dm-3-8]                                                         
avize      ;root           ; [jbd2/dm-4-8]                                                         
avize      ;root           ; [jbd2/dm-5-8]                                                         
avize      ;root           ; [jbd2/dm-6-8]                                                         
avize      ;root           ; [jbd2/sda1-8]                                                         
avize      ;root           ; [kacpid]                                                              
avize      ;root           ; [kacpi_hotplug]                                                       
avize      ;root           ; [kacpi_notify]                                                        
avize      ;root           ; [kauditd]                                                             
avize      ;root           ; [kblockd/0]                                                           
avize      ;root           ; [kdmflush]                                                            
avize      ;root           ; [kdmflush]                                                            
avize      ;root           ; [kdmflush]                                                            
avize      ;root           ; [kdmflush]                                                            
avize      ;root           ; [kdmflush]                                                            
avize      ;root           ; [kdmflush]                                                            
avize      ;root           ; [kdmflush]                                                            
avize      ;root           ; [khelper]                                                             
avize      ;root           ; [khubd]                                                               
avize      ;root           ; [khungtaskd]                                                          
avize      ;root           ; [kintegrityd/0]                                                       
avize      ;root           ; [kpsmoused]                                                           
avize      ;root           ; [kseriod]                                                             
avize      ;root           ; [ksmd]                                                                
avize      ;root           ; [ksoftirqd/0]                                                         
avize      ;root           ; [kstriped]                                                            
avize      ;root           ; [ksuspend_usbd]                                                       
avize      ;root           ; [kswapd0]                                                             
avize      ;root           ; [kthreadd]                                                            
avize      ;root           ; [kthrotld/0]                                                          
avize      ;root           ; login -- alozahic                                                     
avize      ;root           ; [md/0]                                                                
avize      ;root           ; [md_misc/0]                                                           
avize      ;root           ; [migration/0]                                                         
avize      ;root           ; [migration/0]                                                         
avize      ;root           ; [mpt/0]                                                               
avize      ;root           ; [mpt_poll_0]                                                          
avize      ;root           ; [netns]                                                               
avize      ;root           ; NetworkManager --pid-file=/var/run/NetworkManager/NetworkManager.pid   
avize      ;root           ; [pciehpd]                                                             
avize      ;root           ; [pm]                                                                  
avize      ;root           ; rpc.idmapd                                                            
avize      ;root           ; [rpciod/0]                                                            
avize      ;root           ; /sbin/init                                                            
avize      ;root           ; /sbin/mingetty /dev/tty2                                              
avize      ;root           ; /sbin/rsyslogd -i /var/run/syslogd.pid -c 5                           
avize      ;root           ; /sbin/udevd -d                                                        
avize      ;root           ; /sbin/udevd -d                                                        
avize      ;root           ; /sbin/udevd -d                                                        
avize      ;root           ; [scsi_eh_0]                                                           
avize      ;root           ; [scsi_eh_1]                                                           
avize      ;root           ; [scsi_eh_2]                                                           
avize      ;root           ; sshd: alozahic [priv]                                                 
avize      ;root           ; sshd: alozahic [priv]                                                 
avize      ;root           ; su -                                                                  
avize      ;root           ; [sync_supers]                                                         
avize      ;root           ; [usbhid_resumer]                                                      
avize      ;root           ; /usr/libexec/postfix/master                                           
avize      ;root           ; /usr/sbin/abrtd                                                       
avize      ;root           ; /usr/sbin/acpid                                                       
avize      ;root           ; /usr/sbin/atd                                                         
avize      ;root           ; /usr/sbin/certmonger -S -p /var/run/certmonger.pid                    
avize      ;root           ; /usr/sbin/console-kit-daemon --no-daemon                              
avize      ;root           ; /usr/sbin/modem-manager                                               
avize      ;root           ; /usr/sbin/sshd                                                        
avize      ;root           ; /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -B -u
avize      ;root           ; [vmmemctl]                                                            
avize      ;root           ; [watchdog/0]                                                          
avize      ;rpc            ; rpcbind                                                               
avize      ;rpcuser        ; rpc.statd                                                             
avize      ;UID            ; CMD                                                                   
athis      ;68             ; hald                                                                  
athis      ;68             ; hald-addon-acpi: listening on acpid socket                            
athis      ;alozahic       ; /bin/sh -c . /home/alozahic/.profile; /home/alozahic/exploit/systeme/suivi/ABSYSS_CENTOS/SURVEILL
athis      ;alozahic       ; /bin/sh -c . /home/alozahic/.profile; /home/alozahic/exploit/systeme/suivi/ABSYSS_CENTOS/SURVEILL
athis      ;alozahic       ; /bin/sh -c . /home/alozahic/.profile; /home/alozahic/exploit/systeme/suivi/ABSYSS_CENTOS/SURVEILL
athis      ;alozahic       ; cut -b 4-                                                             
athis      ;alozahic       ; /home/alozahic/Linux/centos63/Ver551/sgbd/bin/postgres -D /home/alozahic/Linux/centos63/Ver551/ba  
athis      ;alozahic       ; /home/alozahic/Linux/centos63/Ver551/vtom/bin/vtathiser                
athis      ;alozahic       ; /home/alozahic/Linux/centos63/Ver551/vtom/bin/vtsgbd                  
athis      ;alozahic       ; -ksh                                                                  
athis      ;alozahic       ; -ksh                                                                  
athis      ;alozahic       ; -ksh                                                                  
athis      ;alozahic       ; ksh -x domi_arn_ctrl_process                                          
athis      ;alozahic       ; ls                                                                    
athis      ;alozahic       ; postgres: autovacuum launcher process                                 
athis      ;alozahic       ; postgres: stats collector process                                     
athis      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40907) idle                             
athis      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40908) idle                             
athis      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40909) idle                             
athis      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40910) idle                             
athis      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40911) idle                             
athis      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40912) idle                             
athis      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40913) idle                             
athis      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40914) idle                             
athis      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40915) idle                             
athis      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40916) idle                             
athis      ;alozahic       ; postgres: wal writer process                                          
athis      ;alozahic       ; postgres: writer process                                              
athis      ;alozahic       ; ps -ef                                                                
athis      ;alozahic       ; sed s/athis/athis/g                                                    
athis      ;alozahic       ; sort                                                                  
athis      ;alozahic       ; sshd: alozahic@pts/0                                                  
athis      ;alozahic       ; sshd: alozahic@pts/1                                                  
athis      ;alozahic       ; /usr/sbin/postdrop -r                                                 
athis      ;alozahic       ; /usr/sbin/postdrop -r                                                 
athis      ;alozahic       ; /usr/sbin/postdrop -r                                                 
athis      ;alozahic       ; /usr/sbin/sendmail -FCronDaemon -i -odi -oem                          
athis      ;alozahic       ; /usr/sbin/sendmail -FCronDaemon -i -odi -oem                          
athis      ;alozahic       ; /usr/sbin/sendmail -FCronDaemon -i -odi -oem                          
athis      ;alozahic       ; vtmonitor                                                             
athis      ;avahi          ; avahi-daemon: chroot helper                                           
athis      ;avahi          ; avahi-daemon: running [centos63.local]                                
athis      ;dbus           ; dbus-daemon --system                                                  
athis      ;ntp            ; ntpd -u ntp:ntp -p /var/run/ntpd.pid                                  
athis      ;postfix        ; pickup -l -t fifo -u                                                  
athis      ;postfix        ; qmgr -l -t fifo -u                                                    
athis      ;root           ; abrt-dump-oops -d /var/spool/abrt -rwx /var/log/messages              
athis      ;root           ; [aio/0]                                                               
athis      ;root           ; [async/mgr]                                                           
athis      ;root           ; [ata/0]                                                               
athis      ;root           ; [ata_aux]                                                             
athis      ;root           ; auditd                                                                
athis      ;root           ; automount --pid-file /var/run/autofs.pid                              
athis      ;root           ; -bash                                                                 
athis      ;root           ; [bdi-default]                                                         
athis      ;root           ; [cgroup]                                                              
athis      ;root           ; crond                                                                 
athis      ;root           ; CROND                                                                 
athis      ;root           ; CROND                                                                 
athis      ;root           ; CROND                                                                 
athis      ;root           ; [crypto/0]                                                            
athis      ;root           ; cupsd -C /etc/cups/cupsd.conf                                         
athis      ;root           ; [events/0]                                                            
athis      ;root           ; [ext4-dio-unwrit]                                                     
athis      ;root           ; [ext4-dio-unwrit]                                                     
athis      ;root           ; [ext4-dio-unwrit]                                                     
athis      ;root           ; [ext4-dio-unwrit]                                                     
athis      ;root           ; [ext4-dio-unwrit]                                                     
athis      ;root           ; [ext4-dio-unwrit]                                                     
athis      ;root           ; [ext4-dio-unwrit]                                                     
athis      ;root           ; [flush-253:3]                                                         
athis      ;root           ; [flush-253:4]                                                         
athis      ;root           ; [flush-253:5]                                                         
athis      ;root           ; hald-addon-input: Listening on /dev/input/event0 /dev/input/event1    
athis      ;root           ; hald-runner                                                           
athis      ;root           ; /home/alozahic/Linux/centos63/Ver551/abm/bin/bdaemon                  
athis      ;root           ; [jbd2/dm-0-8]                                                         
athis      ;root           ; [jbd2/dm-2-8]                                                         
athis      ;root           ; [jbd2/dm-3-8]                                                         
athis      ;root           ; [jbd2/dm-4-8]                                                         
athis      ;root           ; [jbd2/dm-5-8]                                                         
