ENV/APP/JOB;MACHINE;USER;BEGIN;END;ELAPSE;STATUS
MIDDLE_OFFICE/MOF_C16_REMBOURS/RAPPRO_REMBOURS;imapora2;vp_mof;30-06-2010 00:00:38;30-06-2010 00:00:38;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_C16_REMBOURS/ANNULE_REMBOURS;imapora2;vp_mof;30-06-2010 00:00:38;30-06-2010 00:00:38;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_C16_REMBOURS/purge_trace_remb;imapora2;vp_mof;30-06-2010 00:00:39;30-06-2010 00:00:39;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/ARC_TIERS_C16+/tiers_c16;smapx251;vp_ares;30-06-2010 20:32:34;30-06-2010 20:37:36;0:05:02;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/insert_tiers;imapora2;vp_ares;30-06-2010 20:37:37;30-06-2010 20:38:07;0:00:30;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/MAJ_FIN;smapx251;vp_ares;30-06-2010 20:38:07;30-06-2010 20:38:27;0:00:20;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/envoi_rejets;smapx251;vp_ares;30-06-2010 20:38:27;30-06-2010 20:38:32;0:00:05;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/PURGE_TIERS_ARC;smapx251;vp_ares;30-06-2010 20:38:32;30-06-2010 20:38:37;0:00:05;TERMINE
MIDDLE_OFFICE/ARC_MOF_ARCOLE_1/MOF_ARCOLE;smapx251;vp_ares;30-06-2010 20:38:37;30-06-2010 20:49:18;0:10:41;TERMINE
MIDDLE_OFFICE/ARC_MOF_ARCOLE_1/CONTROL_ECRITURE;imapora2;vp_ares;30-06-2010 20:49:19;30-06-2010 20:49:23;0:00:04;TERMINE
MIDDLE_OFFICE/MOF_PREFAC_REGUL/mof_deflag_c16;smapx251;vp_ares;30-06-2010 20:49:24;30-06-2010 20:52:40;0:03:16;TERMINE
MIDDLE_OFFICE/MOF_PREFAC_REGUL/prefac_regul;imapora2;vp_ares;30-06-2010 20:52:40;30-06-2010 21:04:43;0:12:03;TERMINE
MIDDLE_OFFICE/ARC_MOF_ARCOLE_2/MOF_ARCOLE;smapx251;vp_ares;30-06-2010 21:04:44;30-06-2010 21:19:09;0:14:25;TERMINE
MIDDLE_OFFICE/ARC_MOF_ARCOLE_2/CONTROL_ECRITURE;imapora2;vp_ares;30-06-2010 21:19:09;30-06-2010 21:19:14;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_CTRL_EQUILIB/CTRL_EQUILIBRE;imapora2;vp_ares;30-06-2010 21:19:14;30-06-2010 21:19:19;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_CTRL_EQUILIB/INSERT_ECRITURE;imapora2;vp_ares;30-06-2010 21:19:19;30-06-2010 21:19:29;0:00:10;TERMINE
MIDDLE_OFFICE/MOF_C16TOBASEWAR/GENERE_RETOUR;imapora2;vp_mof;30-06-2010 21:19:30;30-06-2010 21:24:12;0:04:42;TERMINE
MIDDLE_OFFICE/MOF_C16TOBASEWAR/PURGE_FICHIER;imapora2;vp_mof;30-06-2010 21:24:12;30-06-2010 21:24:18;0:00:06;TERMINE
MIDDLE_OFFICE/MOF_RETOUR_FACT/RETOUR_FACTURE;smapx251;vp_ares;30-06-2010 21:19:29;30-06-2010 21:22:05;0:02:36;TERMINE
MIDDLE_OFFICE/MOF_RETOUR_FACT/MOF_MV_FICH;hmapora2;vp_ares;30-06-2010 21:22:06;30-06-2010 21:22:10;0:00:04;TERMINE
MIDDLE_OFFICE/RETOUR_FACTURE/Integ_Prestation;KMAFPSIB2;vp_mof;30-06-2010 21:30:01;30-06-2010 21:30:27;0:00:26;TERMINE
MIDDLE_OFFICE/MOF_RETOUR_REG/RETOUR_REGLEMENT;smapx251;vp_ares;30-06-2010 21:30:01;30-06-2010 21:38:37;0:08:36;TERMINE
MIDDLE_OFFICE/MOF_RETOUR_REG/MOF_MV_FICH;hmapora2;vp_ares;30-06-2010 21:38:37;30-06-2010 21:38:42;0:00:05;TERMINE
MIDDLE_OFFICE/RETOUR_REGLEMENT/Integration_regl;KMAFPSIB2;vp_aida;30-06-2010 21:38:42;30-06-2010 21:43:06;0:04:24;TERMINE
MIDDLE_OFFICE/SAUVE_RETOUR/sauve_retass;hmapora2;vp_aida;30-06-2010 21:43:06;30-06-2010 21:43:11;0:00:05;TERMINE
