----------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------

#### DEBUT JOB  20170621-000910 ####

Report of the autosys jobs le 20170621 a 000910

###################################################################

There are 625 jobs in error

Jobname;RC;Start time;End time;Machine;Status;O;Duration;Run/Ntry;Insert;Modif;
jca2Lsa4_dasa9c_01;127;2017/06/20 18:43:10;2017/06/20 18:43:10;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
jvr2Lsa4_dasa9c_01;127;2017/06/20 18:43:11;2017/06/20 18:43:11;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
jca1Lsa4_dasa9c_01;127;2017/06/20 18:43:13;2017/06/20 18:43:13;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
jvr0Lsa4_dasa9c_01;127;2017/06/20 18:43:14;2017/06/20 18:43:14;parva4022576;FAILURE; ;0;784923/1;17-JUN-17; ;
jvr0Lsa5_dasa9c_01;127;2017/06/20 18:43:16;2017/06/20 18:43:16;parva4022576;FAILURE; ;0;784921/1;17-JUN-17; ;
jsppLsa4_dasa9c_01;127;2017/06/20 18:43:17;2017/06/20 18:43:17;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
jsppLsa5_dasa9c_01;127;2017/06/20 18:43:19;2017/06/20 18:43:19;parva4022576;FAILURE; ;0;784955/1;17-JUN-17; ;
jsp5Lsa4_dasa9c_01;127;2017/06/20 18:43:21;2017/06/20 18:43:21;parva4022576;FAILURE; ;0;784968/1;17-JUN-17; ;
d9arLsa5_dasa9c_01;127;2017/06/20 18:43:22;2017/06/20 18:43:22;parva4022576;FAILURE; ;0;784967/1;17-JUN-17; ;
jsp5Lsa5_dasa9c_01;127;2017/06/20 18:43:24;2017/06/20 18:43:24;parva4022576;FAILURE; ;0;784967/1;17-JUN-17; ;
j9cfLsa4_dasa9c_01;127;2017/06/20 18:43:26;2017/06/20 18:43:26;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
dwjaLsa5_dasa9c_01;127;2017/06/20 18:43:27;2017/06/20 18:43:27;parva4022576;FAILURE; ;0;784955/1;17-JUN-17; ;
j9stLsa4_dasa9c_01;127;2017/06/20 18:43:29;2017/06/20 18:43:29;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
j9stLsa5_dasa9c_01;127;2017/06/20 18:43:30;2017/06/20 18:43:30;parva4022576;FAILURE; ;0;784955/1;17-JUN-17; ;
jpfiLsa4_dasa9c_01;127;2017/06/20 18:43:32;2017/06/20 18:43:32;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
jpfiLsa5_dasa9c_01;127;2017/06/20 18:43:33;2017/06/20 18:43:33;parva4022576;FAILURE; ;0;784955/1;17-JUN-17; ;
dcr1Lsa4_dasa9c_01;127;2017/06/20 18:43:35;2017/06/20 18:43:35;parva4022576;FAILURE; ;0;784978/1;17-JUN-17; ;
dcr1Lsa5_dasa9c_01;127;2017/06/20 18:43:36;2017/06/20 18:43:36;parva4022576;FAILURE; ;0;784980/1;17-JUN-17; ;
dvbaLsa4_dasa9c_01;127;2017/06/20 18:43:37;2017/06/20 18:43:37;parva4022576;FAILURE; ;0;784984/1;17-JUN-17; ;
dvbpLsa4_dasa9c_01;127;2017/06/20 18:43:39;2017/06/20 18:43:39;parva4022576;FAILURE; ;0;784984/1;17-JUN-17; ;
dvbpLsa5_dasa9c_01;127;2017/06/20 18:43:40;2017/06/20 18:43:40;parva4022576;FAILURE; ;0;784985/1;17-JUN-17; ;
jpn3Lsa4_dasa9c_01;127;2017/06/20 18:43:42;2017/06/20 18:43:42;parva4022576;FAILURE; ;0;784984/1;17-JUN-17; ;
jpn3Lsa5_dasa9c_01;127;2017/06/20 18:43:43;2017/06/20 18:43:43;parva4022576;FAILURE; ;0;784985/1;17-JUN-17; ;
tes1Hau1_dasa9c_01;127;2017/06/20 18:43:44;2017/06/20 18:43:45;parva4022576;FAILURE; ;1;785031/1;19-JUN-17; ;
zfafHau1_dasa9c_01;127;2017/06/20 18:43:46;2017/06/20 18:43:46;parva4022576;FAILURE; ;0;785032/1;19-JUN-17; ;
CtrlHau1_dasa9c_01;127;2017/06/20 18:43:48;2017/06/20 18:43:48;parva4022576;FAILURE; ;0;785036/1;19-JUN-17; ;
rcb8Hau1_dasa9c_01;127;2017/06/20 18:43:49;2017/06/20 18:43:49;parva4022576;FAILURE; ;0;785037/1;19-JUN-17; ;
dspoLrf1_dasa9c_01;3;2017/06/20 18:43:50;2017/06/20 18:43:52;parva4022576;FAILURE; ;2;785042/1;08-JUN-17; ;
sb_wday01_eodEau1;1;2017/06/20 20:00:00;2017/06/20 20:00:05; ;FAILURE; ;5;785263/1;28-JUL-16;04-FEB-17;
jitgEau1;1;2017/06/20 20:00:01;2017/06/20 20:00:04; ;FAILURE; ;3;785263/1;03-AUG-16;04-FEB-17;
jitvEau1;1;2017/06/20 20:00:01;2017/06/20 20:00:04; ;FAILURE; ;3;785263/1;03-AUG-16;04-FEB-17;
jitgEau1_jitpa6_01;2;2017/06/20 20:00:03;2017/06/20 20:00:03;parva4022576;FAILURE; ;0;785263/1;20-AUG-16;04-FEB-17;
jitvEau1_jitpv1_02;2;2017/06/20 20:00:03;2017/06/20 20:00:03;parva4022576;FAILURE; ;0;785263/1;20-AUG-16;04-FEB-17;
jitgEau1_jitpa3_01;2;2017/06/20 20:00:04;2017/06/20 20:00:04;parva4022576;FAILURE; ;0;785263/1;20-AUG-16;04-FEB-17;
cpp1Luf1_fred;3;2017/06/20 20:02:44;2017/06/20 20:02:46;parva4022576;FAILURE; ;2;785275/1;20-JUN-17; ;
mi73Lsa1_messag_action;1;2017/06/20 20:05:01;2017/06/20 20:05:03;parva4022576;FAILURE; ;2;785278/1;16-JUN-17; ;
mi73Lsa5_messag_action;127;2017/06/20 20:05:01;2017/06/20 20:05:01;parva4022576;FAILURE; ;0;785281/1;17-JUN-17; ;
mi73Lsa5_messag_action;127;2017/06/20 20:05:49;2017/06/20 20:05:49;parva4022576;FAILURE; ;0;785284/1;17-JUN-17; ;
mi73Lsa1_messag_action;1;2017/06/20 20:06:04;2017/06/20 20:06:06;parva4022576;FAILURE; ;2;785286/1;16-JUN-17; ;
mi73Lsa5_messag_action;127;2017/06/20 20:11:37;2017/06/20 20:11:37;parva4022576;FAILURE; ;0;785308/1;17-JUN-17; ;
mi73Lsa1_messag_action;1;2017/06/20 20:11:38;2017/06/20 20:11:39;parva4022576;FAILURE; ;1;785309/1;16-JUN-17; ;
