Jobname;RC;Start time;End time;Machine;Status;O;Duration;Run/Ntry;Insert;Modif;
IRTMP01-Q1IMP-PPRRES_RES;1;2017/05/14 15:30:01;2017/05/14 15:30:01;s00vl9931950;FAILURE; ;0;415864/1;19-JAN-17; ;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 15:30:02;2017/05/14 15:30:02;s00vl9957605;SUCCESS; ;0;415865/1;19-AUG-15; ;
IPRT00P01-Q1APP01-JI94MARO-JIPR08_0009;0;2017/05/14 15:30:03;2017/05/14 15:30:03;s00vl9941381;SUCCESS; ;0;415352/1;18-OCT-16;18-OCT-16;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 15:32:00;2017/05/14 15:32:02; ;SUCCESS; ;2;415866/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 15:32:02;2017/05/14 15:32:02;s00vl9957622;SUCCESS; ;0;415866/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 15:35:00;2017/05/14 15:35:02; ;SUCCESS; ;2;415867/1;19-AUG-15;08-MAR-17;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 15:35:02;2017/05/14 15:35:02;s00vl9957605;SUCCESS; ;0;415867/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 15:37:00;2017/05/14 15:37:02; ;SUCCESS; ;2;415868/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 15:37:02;2017/05/14 15:37:02;s00vl9957622;SUCCESS; ;0;415868/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 15:40:00;2017/05/14 15:40:02; ;SUCCESS; ;2;415869/1;19-AUG-15;08-MAR-17;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 15:40:02;2017/05/14 15:40:02;s00vl9957605;SUCCESS; ;0;415869/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 15:42:00;2017/05/14 15:42:02; ;SUCCESS; ;2;415870/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 15:42:02;2017/05/14 15:42:02;s00vl9957622;SUCCESS; ;0;415870/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 15:45:00;2017/05/14 15:45:02; ;SUCCESS; ;2;415871/1;19-AUG-15;08-MAR-17;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 15:45:02;2017/05/14 15:45:02;s00vl9957605;SUCCESS; ;0;415871/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 15:47:00;2017/05/14 15:47:02; ;SUCCESS; ;2;415872/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 15:47:02;2017/05/14 15:47:02;s00vl9957622;SUCCESS; ;0;415872/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 15:50:00;2017/05/14 15:50:02; ;SUCCESS; ;2;415873/1;19-AUG-15;08-MAR-17;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 15:50:02;2017/05/14 15:50:02;s00vl9957605;SUCCESS; ;0;415873/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 15:52:00;2017/05/14 15:52:02; ;SUCCESS; ;2;415874/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 15:52:02;2017/05/14 15:52:02;s00vl9957622;SUCCESS; ;0;415874/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 15:55:00;2017/05/14 15:55:02; ;SUCCESS; ;2;415876/1;19-AUG-15;08-MAR-17;
IOPFP01-Q0BOX-ALGE_EXP_JEXPVIR;0;2017/05/14 15:55:00;2017/05/14 15:57:42; ;SUCCESS; ;162;415875/1;06-OCT-16;13-OCT-16;
IOPFP01-Q0BOX-ALGE_EXP_JEXPVIRU;0;2017/05/14 15:55:00;2017/05/14 15:58:13; ;SUCCESS; ;193;415877/1;06-OCT-16;13-OCT-16;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 15:55:02;2017/05/14 15:55:02;s00vl9957605;SUCCESS; ;0;415876/1;19-AUG-15; ;
IOPFP01-Q1APP01-ALGE_EXP_JEXPVIR;0;2017/05/14 15:55:02;2017/05/14 15:57:42;s00va9944736;SUCCESS; ;160;415875/1;06-OCT-16;11-NOV-16;
IOPFP01-Q1APP01-ALGE_EXP_JEXPVIRU;0;2017/05/14 15:55:02;2017/05/14 15:58:13;s00va9944736;SUCCESS; ;191;415877/1;06-OCT-16;11-NOV-16;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 15:57:00;2017/05/14 15:57:02; ;SUCCESS; ;2;415878/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 15:57:02;2017/05/14 15:57:02;s00vl9957622;SUCCESS; ;0;415878/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 16:00:00;2017/05/14 16:00:02; ;SUCCESS; ;2;415879/1;19-AUG-15;08-MAR-17;
IPRT00P01-Q1SAV01-JI92ALGE-JIPR04_0002;0;2017/05/14 16:00:01;2017/05/14 16:00:01;s00vl9941381;SUCCESS; ;0;415354/1;18-OCT-16;18-OCT-16;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 16:00:02;2017/05/14 16:00:02;s00vl9957605;SUCCESS; ;0;415879/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 16:02:00;2017/05/14 16:02:02; ;SUCCESS; ;2;415880/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 16:02:02;2017/05/14 16:02:02;s00vl9957622;SUCCESS; ;0;415880/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 16:05:00;2017/05/14 16:05:03; ;SUCCESS; ;3;415881/1;19-AUG-15;08-MAR-17;
