LOAD_BENEF;;;;;;
;;;;;;
ENV/APP/JOB;MACHINE;USER;BEGIN;END;ELAPSE;STATUS
AIDA_LOT2/LOAD_BENEF/CREER_SCRIPTS;smapx251;vp_aida;22/06/2010 03:01;22/06/2010 03:01;00:00:25;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_INDEX;smapx251;vp_aida;22/06/2010 03:01;22/06/2010 03:01;00:00:10;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_AJOUT;smapx251;vp_aida;22/06/2010 03:01;22/06/2010 05:09;02:07:54;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_PK;smapx251;vp_aida;22/06/2010 05:09;22/06/2010 05:09;00:00:05;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_COMPLET;smapx251;vp_aida;22/06/2010 05:09;22/06/2010 05:57;00:48:08;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/recreer_index;smapx251;vp_aida;22/06/2010 05:57;22/06/2010 07:26;01:28:12;TERMINE
AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;22/06/2010 16:17;22/06/2010 16:18;00:00:35;TERMINE


AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;23/06/2010 03:00;23/06/2010 03:01;00:01:14;TERMINE
AIDA_LOT2/LOAD_BENEF/CREER_SCRIPTS;smapx251;vp_aida;23/06/2010 03:01;23/06/2010 03:01;00:00:19;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_INDEX;smapx251;vp_aida;23/06/2010 03:01;23/06/2010 03:01;00:00:11;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_AJOUT;smapx251;vp_aida;23/06/2010 03:01;23/06/2010 05:53;02:51:49;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/DROP_PK;smapx251;vp_aida;23/06/2010 05:53;23/06/2010 05:53;00:00:05;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_COMPLET;smapx251;vp_aida;23/06/2010 05:53;23/06/2010 09:11;03:17:47;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/recreer_index;smapx251;vp_aida;23/06/2010 09:11;23/06/2010 11:02;01:51:25;TERMINE
AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;23/06/2010 11:20;23/06/2010 11:20;00:00:26;TERMINE


AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;24/06/2010 03:00;24/06/2010 03:01;00:01:19;TERMINE
AIDA_LOT2/LOAD_BENEF/CREER_SCRIPTS;smapx251;vp_aida;24/06/2010 03:01;24/06/2010 03:01;00:00:24;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_INDEX;smapx251;vp_aida;24/06/2010 03:01;24/06/2010 03:01;00:00:10;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_AJOUT;smapx251;vp_aida;24/06/2010 03:01;24/06/2010 05:41;02:39:34;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/DROP_PK;smapx251;vp_aida;24/06/2010 05:41;24/06/2010 05:41;00:00:05;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_COMPLET;smapx251;vp_aida;24/06/2010 05:41;24/06/2010 06:24;00:43:02;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/recreer_index;smapx251;vp_aida;24/06/2010 06:24;24/06/2010 07:53;01:28:50;TERMINE
AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;24/06/2010 12:19;24/06/2010 12:20;00:00:30;TERMINE


AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;25/06/2010 03:00;25/06/2010 03:01;00:01:24;TERMINE
AIDA_LOT2/LOAD_BENEF/CREER_SCRIPTS;smapx251;vp_aida;25/06/2010 03:01;25/06/2010 03:01;00:00:24;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_INDEX;smapx251;vp_aida;25/06/2010 03:01;25/06/2010 03:02;00:00:10;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_AJOUT;smapx251;vp_aida;25/06/2010 03:02;25/06/2010 06:05;03:03:31;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_PK;smapx251;vp_aida;25/06/2010 06:05;25/06/2010 06:05;00:00:05;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_COMPLET;smapx251;vp_aida;25/06/2010 06:05;25/06/2010 07:02;00:57:17;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/recreer_index;smapx251;vp_aida;25/06/2010 07:02;25/06/2010 08:34;01:31:19;TERMINE


AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;26/06/2010 03:00;26/06/2010 03:01;00:01:08;TERMINE
AIDA_LOT2/LOAD_BENEF/CREER_SCRIPTS;smapx251;vp_aida;26/06/2010 03:01;26/06/2010 03:01;00:00:35;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_INDEX;smapx251;vp_aida;26/06/2010 03:01;26/06/2010 03:02;00:00:10;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_AJOUT;smapx251;vp_aida;26/06/2010 03:02;26/06/2010 05:51;02:49:49;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_PK;smapx251;vp_aida;26/06/2010 05:51;26/06/2010 05:51;00:00:05;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_COMPLET;smapx251;vp_aida;26/06/2010 05:51;26/06/2010 06:53;01:01:26;TERMINE
AIDA_LOT2/LOAD_BENEF/recreer_index;smapx251;vp_aida;26/06/2010 06:53;26/06/2010 08:23;01:30:22;TERMINE


AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;27/06/2010 03:00;27/06/2010 03:01;00:00:59;TERMINE
AIDA_LOT2/LOAD_BENEF/CREER_SCRIPTS;smapx251;vp_aida;27/06/2010 03:01;27/06/2010 03:01;00:00:09;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_INDEX;smapx251;vp_aida;27/06/2010 03:01;27/06/2010 03:01;00:00:05;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_AJOUT;smapx251;vp_aida;27/06/2010 03:01;27/06/2010 04:53;01:52:32;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_PK;smapx251;vp_aida;27/06/2010 04:53;27/06/2010 04:53;00:00:05;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_COMPLET;smapx251;vp_aida;27/06/2010 04:53;27/06/2010 06:56;02:02:40;TERMINE
AIDA_LOT2/LOAD_BENEF/recreer_index;smapx251;vp_aida;27/06/2010 06:56;27/06/2010 08:47;01:51:07;TERMINE


AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;28/06/2010 03:00;28/06/2010 03:01;00:01:00;TERMINE
AIDA_LOT2/LOAD_BENEF/CREER_SCRIPTS;smapx251;vp_aida;28/06/2010 03:01;28/06/2010 03:01;00:00:10;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_INDEX;smapx251;vp_aida;28/06/2010 03:01;28/06/2010 03:01;00:00:11;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_AJOUT;smapx251;vp_aida;28/06/2010 03:01;28/06/2010 03:48;00:47:14;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_PK;smapx251;vp_aida;28/06/2010 03:48;28/06/2010 03:48;00:00:05;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_COMPLET;smapx251;vp_aida;28/06/2010 03:48;28/06/2010 04:37;00:48:45;TERMINE
AIDA_LOT2/LOAD_BENEF/recreer_index;smapx251;vp_aida;28/06/2010 04:37;28/06/2010 06:12;01:34:38;TERMINE
