jobset,job,Date job available,Time job available,Date job start,Time job start,Date job end,Time job end,Code job Complete
jfu01Cald,dfsag0,07/03/2017,00:10:55,07/03/2017,00:43:05,07/03/2017,00:45:59,00000000
jfu01Cald,dfsag0,07/04/2017,00:37:25,07/04/2017,01:12:02,07/04/2017,01:16:05,00000000
jfu01Cald,dfsag0,08/02/2017,00:03:31,08/02/2017,00:34:24,08/02/2017,00:37:45,00000000
jfu01Cald,dfsag0,08/03/2017,00:01:44,08/03/2017,00:32:04,08/03/2017,00:35:03,00000000
jfu01Cald,dfsag0,08/03/2017,23:58:32,09/03/2017,00:28:23,09/03/2017,00:31:23,00000000
jfu01Cald,dfsag0,08/04/2017,00:00:12,08/04/2017,00:37:01,08/04/2017,00:40:22,00000000
jfu01Cald,dfsag0,09/02/2017,01:46:51,09/02/2017,02:20:35,09/02/2017,02:23:30,00000000
jfu01Cald,dfsag0,09/02/2017,23:53:37,10/02/2017,00:24:43,10/02/2017,00:27:40,00000000
jfu01Cald,dfsag0,09/03/2017,23:54:38,10/03/2017,00:24:26,10/03/2017,00:27:33,00000000
jfu01Cald,dfsag0,10/05/2017,01:28:47,10/05/2017,01:37:30,10/05/2017,01:39:24,00000000
jfu01Cald,dfsag0,11/01/2017,00:21:09,11/01/2017,00:37:51,11/01/2017,00:41:36,00000000
jfu01Cald,dfsag0,11/02/2017,02:06:04,11/02/2017,02:41:18,11/02/2017,02:44:21,00000000
jfu01Cald,dfsag0,11/03/2017,00:02:33,11/03/2017,00:34:02,11/03/2017,00:37:10,00000000
jfu01Cald,dfsag0,11/04/2017,00:03:06,11/04/2017,00:38:18,11/04/2017,00:41:52,00000000
jfu01Cald,dfsag0,11/05/2017,03:25:57,11/05/2017,03:39:59,11/05/2017,03:41:32,00000000
jfu01Cald,dfsag0,11/05/2017,23:10:48,11/05/2017,23:24:30,11/05/2017,23:26:00,00000000
jfu01Cald,dfsag0,12/01/2017,00:12:51,12/01/2017,00:43:40,12/01/2017,00:46:34,00000000
jfu01Cald,dfsag0,12/01/2017,23:53:51,13/01/2017,00:25:10,13/01/2017,00:27:56,00000000
jfu01Cald,dfsag0,12/04/2017,00:09:13,12/04/2017,00:41:51,12/04/2017,00:45:10,00000000
jfu01Cald,dfsag0,12/04/2017,23:59:21,13/04/2017,00:32:46,13/04/2017,00:36:10,00000000
